round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,clipnorm,dropout,epochs,hidden_size,layers,optimizer,recurrent_dropout
100,7.485079526901245,0.029999999329447746,7.815149366855621,0.0225,elu,100,None,0.25,100,128,2,<class 'keras.optimizers.Adam'>,0.75
100,7.998089551925659,0.03500000014901161,7.777975261211395,0.035,elu,100,1.0,0.5,100,128,1,<class 'keras.optimizers.Adam'>,0.5
100,1.7582262754440308,0.6150000095367432,2.2229247987270355,0.4175,softmax,100,10.0,0.25,100,32,1,<class 'keras.optimizers.Nadam'>,0.75
100,0.4087842546403408,0.8700000047683716,0.12096074967703316,0.94375,sigmoid,20,0.1,0.25,100,128,1,<class 'keras.optimizers.Nadam'>,0
100,2.326762318611145,0.7300000190734863,2.750039666891098,0.42875,softmax,20,None,0.75,100,64,1,<class 'keras.optimizers.RMSprop'>,0.25
100,8.989284944534301,0.03500000014901161,8.878306210041046,0.0275,elu,20,1000.0,0.75,100,128,1,<class 'keras.optimizers.Adadelta'>,0
100,9.670857334136963,0.019999999552965164,8.824657440185547,0.01875,linear,20,1000.0,0,100,64,2,<class 'keras.optimizers.Adam'>,0.5
100,8.946507930755615,0.019999999552965164,8.670018672943115,0.02125,elu,100,1.0,0.75,100,32,2,<class 'keras.optimizers.RMSprop'>,0.25
67,5.369145679473877,0.4050000011920929,nan,0.196875,relu,40,1000.0,0.75,100,256,1,<class 'keras.optimizers.Adadelta'>,0.25
100,0.3397110253572464,0.8999999761581421,0.4011712931096554,0.9075,softmax,100,1.0,0.25,100,128,1,<class 'keras.optimizers.Adam'>,0.25
100,0.2194123610854149,0.9200000166893005,0.09548064321279526,0.95125,softmax,40,10.0,0.25,100,128,2,<class 'keras.optimizers.Adadelta'>,0.25
100,2.0628944396972657,0.6200000047683716,2.7668051958084106,0.265,softmax,40,1000.0,0.75,100,128,1,<class 'keras.optimizers.Adadelta'>,0.75
100,9.51087474822998,0.10499999672174454,9.196768522262573,0.06375,elu,100,1000.0,0.25,100,128,2,<class 'keras.optimizers.Nadam'>,0.25
100,0.34332880824804307,0.8899999856948853,0.07945557803031988,0.94875,softmax,20,None,0,100,128,1,<class 'keras.optimizers.Nadam'>,0
100,8.381409549713135,0.05999999865889549,8.342373752593994,0.0725,linear,40,None,0.25,100,256,1,<class 'keras.optimizers.Adadelta'>,0.75
100,9.267904949188232,0.08500000089406967,10.01447707414627,0.055,linear,20,10.0,0.5,100,128,2,<class 'keras.optimizers.RMSprop'>,0.75
100,0.6040317118167877,0.8550000190734863,0.8094907999038696,0.875,sigmoid,100,1.0,0.5,100,64,2,<class 'keras.optimizers.Nadam'>,0
100,0.23667710423469543,0.9350000023841858,0.21835410445928574,0.93125,sigmoid,40,1000.0,0.5,100,256,1,<class 'keras.optimizers.Adadelta'>,0.25
100,8.059047985076905,0.05000000074505806,8.343714737892151,0.0325,linear,20,0.1,0.5,100,128,1,<class 'keras.optimizers.Adadelta'>,0
100,8.575295066833496,0.0949999988079071,8.359039139747619,0.0575,linear,40,None,0.5,100,128,1,<class 'keras.optimizers.RMSprop'>,0.5
100,0.38271781951189043,0.8650000095367432,0.3952880259603262,0.88125,softmax,20,1.0,0.5,100,64,2,<class 'keras.optimizers.Adam'>,0.75
100,4.2733564376831055,0.3149999976158142,5.115276575088501,0.12,relu,100,None,0.5,100,64,1,<class 'keras.optimizers.RMSprop'>,0.5
100,2.4410749673843384,0.5450000166893005,2.4766471087932587,0.525,sigmoid,100,1.0,0,100,32,2,<class 'keras.optimizers.Adam'>,0.25
100,5.827147006988525,0.375,6.169044065475464,0.2025,relu,40,1000.0,0.25,100,256,1,<class 'keras.optimizers.Adam'>,0.75
100,1.1561116755008698,0.7699999809265137,1.6584630489349366,0.59,sigmoid,20,0.1,0.5,100,64,1,<class 'keras.optimizers.Adam'>,0.25
100,0.7921052575111389,0.8299999833106995,1.6414506137371063,0.53625,softmax,100,10.0,0.75,100,64,1,<class 'keras.optimizers.Nadam'>,0.25
100,0.5913742542266845,0.8450000286102295,0.39843147397041323,0.9075,softmax,40,0.1,0.25,100,256,2,<class 'keras.optimizers.Adadelta'>,0
100,12.008851528167725,0.2150000035762787,10.533610224723816,0.1825,elu,100,0.1,0,100,256,1,<class 'keras.optimizers.Nadam'>,0
100,9.912629127502441,0.11500000208616257,9.650709867477417,0.09875,linear,100,1000.0,0,100,128,1,<class 'keras.optimizers.Adadelta'>,0.25
35,9.950970077514649,0.17000000178813934,nan,0.225,relu,20,1000.0,0,100,32,1,<class 'keras.optimizers.Adam'>,0
14,8.725980043411255,0.17499999701976776,nan,0.1859375,relu,20,1000.0,0,100,256,2,<class 'keras.optimizers.Adam'>,0.5
100,1.448399543762207,0.7300000190734863,1.4524049013853073,0.71375,softmax,100,0.1,0.25,100,32,2,<class 'keras.optimizers.RMSprop'>,0
100,0.26065605580806733,0.9049999713897705,0.12672884501516818,0.945,softmax,40,1.0,0.5,100,128,1,<class 'keras.optimizers.RMSprop'>,0
100,1.598964273929596,0.7200000286102295,1.9300642281770706,0.5675,sigmoid,20,1.0,0.25,100,64,1,<class 'keras.optimizers.Adadelta'>,0.5
100,2.782224655151367,0.5099999904632568,3.1688339591026304,0.2475,sigmoid,40,None,0.5,100,32,1,<class 'keras.optimizers.RMSprop'>,0.5
100,0.3848188668489456,0.8949999809265137,0.2938639037311077,0.9375,sigmoid,40,10.0,0.75,100,256,2,<class 'keras.optimizers.Adadelta'>,0.5
100,0.27759642601013185,0.9150000214576721,0.1030956817790866,0.9475,softmax,40,10.0,0,100,256,1,<class 'keras.optimizers.Nadam'>,0.25
100,8.603287029266358,0.03999999910593033,8.334035634994507,0.03625,elu,40,1.0,0.5,100,32,2,<class 'keras.optimizers.Adadelta'>,0
