epoch,accuracy,loss,val_accuracy,val_loss
0,0.01375,4.605864799022674,0.019999999552965164,4.355444145202637
1,0.06125,4.040744864940644,0.0949999988079071,3.5094429731369017
2,0.145,3.2736638486385345,0.24500000476837158,2.8237555980682374
3,0.2075,2.8192347824573516,0.3449999988079071,2.6389063119888307
4,0.31125,2.4635600596666336,0.39500001072883606,2.329570710659027
5,0.43,2.0453803181648254,0.48500001430511475,1.9404555678367614
6,0.52125,1.7628586083650588,0.6050000190734863,1.6365470051765443
7,0.60375,1.4724123418331145,0.5849999785423279,1.5333683729171752
8,0.67625,1.2404092460870744,0.6050000190734863,1.4032584607601166
9,0.7025,1.1301381811499596,0.7300000190734863,1.0788694322109222
