k,label,no_result,no_result_w_reason,wrong,wrong_w_reason,contains,contains_w_reason,plurality_and_dist,plurality_and_dist_w_reason,plurality,plurality_w_reason,majority,majority_w_reason,exact,exact_w_reason,reasons
7,sex.com,0,0,0,0,0,0,0,0,4,0,5,0,1,0,0
7,smarturl.it,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,alpari.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,dailyinqilab.com,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7,moviesbaba.cc,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,pdpop.com,3,0,0,0,0,0,1,0,0,0,1,0,5,0,0
7,impots.gouv.fr,0,0,3,1,2,3,0,0,0,0,0,1,0,0,5
7,castorama.fr,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,scholarship-positions.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,yes24.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,www-guard.com,1,0,0,0,7,0,1,0,1,0,0,0,0,0,0
7,tes.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,fzmovies.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,lomadee.com,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0
7,coupons.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,solidot.org,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0
7,ibm.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,meteociel.fr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,jcpenney.com,0,0,0,8,0,2,0,0,0,0,0,0,0,0,10
7,bankofindia.com,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0
7,irancell.ir,0,0,0,0,0,0,1,0,1,0,5,0,3,0,0
7,almstba.tv,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,reliefweb.int,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,zapmeta.ws,0,0,5,0,2,0,0,0,3,0,0,0,0,0,0
7,hvg.hu,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,unblocked.lol,0,0,1,7,0,2,0,0,0,0,0,0,0,0,9
7,ac-grenoble.fr,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,ufl.edu,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,etajakhabar.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,eddiebauer.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,translate.ru,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,onliner.by,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,sketchupbar.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ipornovideos.xxx,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,poradnikzdrowie.pl,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,niche.com,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,fox.com.tr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,delta.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,m3.com,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0
7,lync.com,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
7,whitehouse.gov,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,getawesome2.com,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0
7,blogterest.net,0,0,2,0,1,0,0,0,1,0,6,0,0,0,0
7,dreamstime.com,5,0,2,0,2,0,1,0,0,0,0,0,0,0,0
7,google.es,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
7,raj.nic.in,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,4pda.ru,5,0,1,0,0,0,1,0,0,0,0,0,3,0,0
7,jetstar.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,patoghu.com,0,0,4,0,5,0,1,0,0,0,0,0,0,0,0
7,os.tc,5,0,1,0,0,0,1,0,0,0,0,0,3,0,0
7,pimpandhost.com,0,0,1,0,3,0,0,0,5,0,1,0,0,0,0
7,clien.net,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7,my-search.com,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
7,coconala.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,kamupersoneli.net,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,magazineluiza.com.br,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,nptel.ac.in,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0
7,pinduoduo.com,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,office.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,rover.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,edf.fr,0,0,1,0,5,0,0,0,1,0,3,0,0,0,0
7,smugmug.com,3,0,0,0,0,0,0,0,0,0,1,0,6,0,0
7,gmarket.co.kr,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0
7,zazzle.com,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7,moi.gov.sa,0,0,0,5,0,5,0,0,0,0,0,0,0,0,10
7,sony.jp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
