k,label,no_result,no_result_w_reason,wrong,wrong_w_reason,contains,contains_w_reason,plurality_and_dist,plurality_and_dist_w_reason,plurality,plurality_w_reason,majority,majority_w_reason,exact,exact_w_reason,reasons
7,jeevansathi.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,olx.bg,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,expedia.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,piliapp.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ceesty.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ut.ac.ir,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,formula1.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,instructure.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1999.co.jp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,osym.gov.tr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,blackfriday.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,kshow123.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,vijesti.ba,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,cnscg.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,geni.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,wasabisyrup.com,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,qualcomm.com,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0
7,epochtimes.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,36kr.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,hujiang.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,uspto.gov,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,victoriassecret.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,telerama.fr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,freedoge.co.in,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,notion.so,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,surrenderat20.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,modxvm.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,westlandstorage.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,fitgirl-repacks.site,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,comandotorrents.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,thesun.co.uk,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,bankhapoalim.co.il,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sedaily.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ubnt.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,bankaustria.at,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,yurk.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ulozto.cz,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,markt.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,labanquepostale.fr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,almstba.tv,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,bfmtv.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,transfermarkt.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,blogsky.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,nipic.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,xxx.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,moviesbaba.cc,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,xueqiu.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,expressvpn.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,renweb.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,teamtreehouse.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ncert.nic.in,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,medallia.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,seasonvar.ru,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,typeform.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,studylib.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,kugou.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,realoem.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,canlitv.plus,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,inoreader.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,slrclub.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,jjang0u.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,nosub.tv,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,rthk.hk,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,insomnia.gr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,uuu9.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,seekingalpha.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,panzoid.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,makeuseof.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ccm.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,mehrnews.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,52poke.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,cars.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,shinezone.com,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,axios.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,furusato-tax.jp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,men.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,arablionz.online,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,channel4.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,wistia.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,iitb.ac.in,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,thebalancesmb.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,showroomprive.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,porncomix.info,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,cgpeers.com,0,0,0,9,0,1,0,0,0,0,0,0,0,0,10
7,ca168.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,notebooksbilliger.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,deepin.org,8,1,0,1,0,0,0,0,0,0,0,0,0,0,2
7,mixer.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ke.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,dhs.gov,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,kicker.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,amazon.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,google.mu,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,tv-tokyo.co.jp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ninjagod.com,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,spring.io,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,clixsense.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,gobizkorea.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sunnyplayer.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,eporner.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,gulte.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,renfe.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,bankia.es,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,dmm.co.jp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,education.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,rbi.org.in,2,0,1,0,2,0,0,0,0,0,5,0,0,0,0
7,cumhuriyet.com.tr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,istockphoto.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,indianbank.in,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sjsu.edu,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,thewhizproducts.com,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,126.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,abv.bg,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,voot.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,pornomovies.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,povwideo.cc,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,gov.bc.ca,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,repelis.live,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,minecraft-inside.ru,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,bab.la,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,static1.squarespace.com,1,0,0,7,0,2,0,0,0,0,0,0,0,0,9
7,wetteronline.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,stopgame.ru,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,elkhabar.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,yidianzixun.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,google.tt,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,nicovideo.jp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,easyjet.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
